P1_Texto	P1_Cita	P2_Texto	P3_Texto	P3_Cierre	P4_Texto	P5_Texto	P6_Texto	P6_Cierre
El que guarda su boca y su lengua, su alma guarda de angustias.	Proverbios 21:23	No todo pensamiento necesita convertirse en palabra; aprender a detenerse también puede ser una muestra de sabiduría.	¿Qué palabra te gustaría aprender a decir menos cuando estás molesto?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, dame dominio propio para saber cuándo hablar, cuándo escuchar y cuándo guardar silencio.	Declaro que mis palabras estarán guiadas por prudencia, respeto y amor.	Escribe "Dame dominio propio" si quieres mejorar la manera en que hablas.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El que madruga al llanto y a la mañana al júbilo viene.	Salmos 30:5	Una noche complicada no determina cómo será toda tu historia; los momentos difíciles también pueden pasar.	¿Qué situación difícil atravesaste que después terminó trayendo un nuevo motivo para sonreír?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, ayúdame a mantener la esperanza cuando una temporada difícil parezca demasiado larga.	Declaro que no permitiré que una etapa difícil me haga perder la esperanza.	Escribe "Vendrán días mejores" si hoy decides mantener la esperanza.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Encomienda a Jehová tus obras, y tus pensamientos serán afirmados.	Proverbios 16:3	Presentar tus planes delante de Dios puede ayudarte a recordar que tus proyectos también necesitan propósito.	¿Qué proyecto estás deseando poner en las manos de Dios?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, recibe mis proyectos y ayúdame a trabajar en ellos con responsabilidad, paciencia y propósito.	Declaro que mis esfuerzos estarán acompañados de propósito y dirección.	Escribe "Mis planes están en Sus manos" si hoy entregas tus proyectos a Dios.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El ánimo del hombre soportará su enfermedad; mas ¿quién soportará al ánimo angustiado?	Proverbios 18:14	La manera en que enfrentas una dificultad puede cambiar cuando encuentras una razón para continuar.	¿Qué palabra te ayuda a recuperar el ánimo cuando estás pasando por un día complicado?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, fortalece mi ánimo y ayúdame a conservar esperanza cuando me sienta desanimado.	Declaro que mi esperanza no dependerá únicamente de lo que esté sucediendo a mi alrededor.	Escribe "Dios fortalece mi corazón" si hoy necesitas renovar tu ánimo.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Porque Dios no nos ha dado espíritu de cobardía, sino de poder, de amor y de dominio propio.	2 Timoteo 1:7	El valor no siempre significa ausencia de miedo; muchas veces significa avanzar a pesar de sentirlo.	¿Qué miedo te gustaría aprender a enfrentar con mayor confianza?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, ayúdame a enfrentar aquello que me intimida y recuérdame que puedo caminar con valentía.	Declaro que enfrentaré mis temores con fe, amor y dominio propio.	Escribe "Caminaré con valentía" si hoy decides enfrentar tus temores.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Y sabemos que a los que aman a Dios, todas las cosas les ayudan a bien.	Romanos 8:28	No todo acontecimiento será fácil de comprender, pero una experiencia difícil puede dejar enseñanzas que antes no conocías.	¿Qué experiencia complicada terminó enseñándote algo importante sobre la vida?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, dame perspectiva para aprender de aquello que no puedo cambiar y seguir avanzando.	Declaro que buscaré aprendizaje y propósito incluso dentro de las experiencias difíciles.	Escribe "Dios puede usarlo para bien" si decides confiar durante tu proceso.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El Señor cumplirá su propósito en mí; tu misericordia, oh Jehová, es para siempre.	Salmos 138:8	No necesitas conocer cada capítulo de tu historia para continuar caminando hacia lo que Dios ha puesto delante de ti.	¿Qué propósito de tu vida deseas seguir desarrollando con paciencia?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, ayúdame a permanecer firme mientras desarrollas en mí aquello que todavía está en proceso.	Declaro que seguiré avanzando con paciencia hacia el propósito que Dios ha puesto delante de mí.	Escribe "Confío en el propósito" si hoy decides continuar caminando con fe.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
La misericordia de Jehová es desde la eternidad y hasta la eternidad sobre los que le temen.	Salmos 103:17	La gracia de Dios puede recordarte que una nueva oportunidad también puede comenzar después de un día difícil.	¿Qué nueva oportunidad agradeces haber recibido en tu vida?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, gracias por las nuevas oportunidades y por permitirme comenzar nuevamente cuando lo necesito.	Declaro que no viviré atrapado en mis errores; aceptaré nuevas oportunidades para crecer.	Escribe "Gracias por otra oportunidad" si hoy valoras una nueva etapa.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Crea en mí, oh Dios, un corazón limpio, y renueva un espíritu recto dentro de mí.	Salmos 51:10	El crecimiento espiritual también implica reconocer aquello que necesitamos cambiar dentro de nosotros.	¿Qué aspecto de tu carácter le estás pidiendo a Dios que transforme?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, transforma aquello que necesita cambiar en mí y enséñame a vivir con un corazón sincero.	Declaro que estoy dispuesto a crecer, corregir y permitir que Dios transforme mi interior.	Escribe "Transforma mi corazón" si deseas acercarte más a Dios.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Bienaventurado el hombre que halla la sabiduría, y que obtiene la inteligencia.	Proverbios 3:13	La sabiduría también se construye cuando aprendes a escuchar, observar y reconocer tus propios errores.	¿Quién ha sido una persona que te enseñó una lección que nunca olvidaste?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, abre mi entendimiento para aprender de las personas, de las experiencias y de tu Palabra.	Declaro que cada experiencia puede convertirse en una oportunidad para adquirir sabiduría.	Escribe "Dame sabiduría" si hoy quieres aprender algo que transforme tu manera de vivir.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El que anda con sabios, sabio será; mas el que se junta con necios será quebrantado.	Proverbios 13:20	Las personas que permites cerca pueden influir en tus pensamientos, hábitos y decisiones mucho más de lo que imaginas.	¿Qué cualidad valoras más en las personas que forman parte de tu vida?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, dame discernimiento para rodearme de personas que aporten paz, sabiduría y buenos principios a mi vida.	Declaro que buscaré relaciones que me impulsen a crecer y acercarme más a Dios.	Escribe "Rodéame de personas de bien" si valoras las relaciones que edifican.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El que siembra escasamente, también segará escasamente; y el que siembra generosamente, generosamente también segará.	2 Corintios 9:6	Lo que haces constantemente puede convertirse en una semilla cuyo resultado aparecerá con el tiempo.	¿Qué buena acción te gustaría comenzar a sembrar con mayor frecuencia?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, enséñame a sembrar generosidad, paciencia, bondad y amor sin esperar reconocimiento.	Declaro que sembraré buenas acciones con un corazón sincero y generoso.	Escribe "Quiero sembrar el bien" si hoy decides ser una bendición para alguien.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Todo lo que hagáis, hacedlo de corazón, como para el Señor y no para los hombres.	Colosenses 3:23	La calidad de lo que haces también puede reflejar la actitud con la que decides hacerlo.	¿Qué actividad cotidiana quieres comenzar a realizar con una actitud diferente?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, ayúdame a realizar mis responsabilidades con excelencia, humildad y un corazón dispuesto.	Declaro que pondré dedicación y propósito en aquello que hoy me corresponde hacer.	Escribe "Lo haré de corazón" si quieres cambiar tu actitud ante tus responsabilidades.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El que es fiel en lo muy poco, también en lo más es fiel.	Lucas 16:10	Las pequeñas responsabilidades también pueden revelar cuánto compromiso existe dentro de nosotros.	¿Qué pequeña responsabilidad estás decidido a cumplir mejor a partir de hoy?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, ayúdame a ser constante y responsable incluso cuando aquello que hago parezca pequeño.	Declaro que seré fiel en los pequeños detalles que forman mi vida diaria.	Escribe "Seré fiel en lo pequeño" si hoy quieres comenzar con pequeños cambios.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
No nos cansemos, pues, de hacer bien; porque a su tiempo segaremos, si no desmayamos.	Gálatas 6:9	No siempre verás resultados inmediatamente, pero la constancia puede mantener vivo aquello que estás construyendo.	¿Qué cosa buena estás haciendo actualmente aunque todavía no veas resultados?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, dame perseverancia para continuar haciendo el bien aunque los resultados tarden en aparecer.	Declaro que no abandonaré aquello que vale la pena solo porque todavía no veo sus frutos.	Escribe "Seguiré adelante" si hoy decides perseverar.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El que habita en amor, habita en Dios, y Dios en él.	1 Juan 4:16	Amar también significa elegir paciencia, comprensión y bondad cuando sería más sencillo responder con indiferencia.	¿De qué manera puedes demostrar amor a alguien durante este día?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, enséñame a amar con acciones y no solamente con palabras.	Declaro que procuraré reflejar el amor de Dios en la manera en que trato a los demás.	Escribe "Quiero amar más" si hoy deseas reflejar el amor de Dios.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Y sobre todas estas cosas vestíos de amor, que es el vínculo perfecto.	Colosenses 3:14	El amor puede unir personas diferentes cuando existe disposición para escuchar y comprender.	¿Qué relación de tu vida necesita hoy un poco más de paciencia y comprensión?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, ayúdame a llevar amor a las relaciones donde existen diferencias, heridas o distancia.	Declaro que responderé con amor incluso cuando sea difícil comprender al otro.	Escribe "Que haya amor" si deseas llevar paz a tus relaciones.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
La blanda respuesta quita la ira; mas la palabra áspera hace subir el furor.	Proverbios 15:1	Hablar con calma no significa ignorar los problemas; significa intentar resolverlos sin agregar más dolor.	¿Qué haces para recuperar la calma antes de responder cuando estás molesto?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, dame paciencia para escuchar antes de responder y sabiduría para no herir con mis palabras.	Declaro que elegiré la paz antes que una respuesta impulsiva.	Escribe "Elegiré la paz" si hoy quieres cuidar tus palabras.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El que encubre sus pecados no prosperará; mas el que los confiesa y se aparta alcanzará misericordia.	Proverbios 28:13	Reconocer un error no disminuye tu valor; puede ser el primer paso para corregir el camino.	¿Hay alguna lección de un error pasado que hoy agradeces haber aprendido?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, dame humildad para reconocer mis errores y valentía para cambiar aquello que debo corregir.	Declaro que aprenderé de mis errores sin permitir que ellos definan quién puedo llegar a ser.	Escribe "Aprendo y sigo" si hoy decides crecer a partir de tus experiencias.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El justo por su fe vivirá.	Habacuc 2:4	Hay temporadas donde continuar creyendo requiere paciencia porque las circunstancias todavía no muestran lo que esperas.	¿Qué promesa estás esperando con fe aunque todavía no hayas visto su cumplimiento?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, fortalece mi fe cuando mis ojos todavía no puedan ver aquello que estoy esperando.	Declaro que seguiré caminando por fe y no solamente por lo que puedo observar.	Escribe "Seguiré creyendo" si hoy decides mantener tu fe.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Porque por fe andamos, no por vista.	2 Corintios 5:7	No todo lo importante puede verse inmediatamente; algunas cosas se construyen mientras avanzas con confianza.	¿Qué situación te está enseñando a confiar aunque todavía no tengas todas las respuestas?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, ayúdame a caminar con confianza cuando no pueda conocer todavía el resultado de cada decisión.	Declaro que mi fe será más fuerte que mi necesidad de tener todas las respuestas.	Escribe "Camino por fe" si hoy decides confiar aunque no puedas verlo todo.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Porque nuestra leve tribulación momentánea produce en nosotros un cada vez más excelente y eterno peso de gloria.	2 Corintios 4:17	Algunas dificultades pueden dejar una profundidad interior que no habrías desarrollado durante una temporada completamente cómoda.	¿Qué dificultad terminó fortaleciendo una parte de ti que antes desconocías?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, ayúdame a encontrar crecimiento y esperanza incluso en las temporadas que me cuestan comprender.	Declaro que las dificultades no tendrán la última palabra sobre mi vida.	Escribe "Esto también pasará" si hoy eliges mirar tu proceso con esperanza.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El que comenzó en vosotros la buena obra, la perfeccionará hasta el día de Jesucristo.	Filipenses 1:6	No tienes que ser una versión terminada de ti mismo para reconocer que estás avanzando.	¿Qué cambio positivo has notado en ti durante el último año?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, ayúdame a tener paciencia con mi propio proceso y a reconocer cada pequeño avance.	Declaro que seguiré creciendo sin despreciar los pasos pequeños que ya he dado.	Escribe "Estoy creciendo" si reconoces que Dios todavía está trabajando en ti.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Jehová es bueno, fortaleza en el día de la angustia; y conoce a los que en él confían.	Nahúm 1:7	En los días complicados es importante recordar que no tienes que enfrentar cada preocupación sin buscar apoyo.	¿Qué haces para recordar la bondad de Dios durante una temporada difícil?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, sé mi fortaleza cuando las preocupaciones intenten quitarme la tranquilidad.	Declaro que buscaré refugio en Dios antes de permitir que la angustia gobierne mis pensamientos.	Escribe "Dios es mi fortaleza" si hoy necesitas recordar Su bondad.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El Señor dará poder a su pueblo; el Señor bendecirá a su pueblo con paz.	Salmos 29:11	La verdadera paz no siempre significa que todo esté resuelto; a veces significa aprender a permanecer firme mientras esperas.	¿Qué situación necesitas entregar para recuperar un poco de paz interior?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, permite que tu paz encuentre espacio en mi corazón cuando mis circunstancias sean inciertas.	Declaro que protegeré mi paz y no permitiré que cada dificultad controle mi interior.	Escribe "Recibo Su paz" si hoy quieres descansar tu corazón en Dios.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El Señor es mi fuerza y mi cántico, y ha sido mi salvación.	Isaías 12:2	La gratitud puede cambiar la manera en que recuerdas una etapa difícil al ayudarte a reconocer cuánto has superado.	¿Qué situación del pasado te hace agradecer que Dios te haya sostenido?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, gracias por cada vez que me diste fuerzas cuando yo pensaba que ya no tenía más.	Declaro que recordaré lo que Dios ha hecho para enfrentar con esperanza lo que viene.	Escribe "Gracias por sostenerme" si recuerdas una ocasión en la que Dios te ayudó.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Buscad a Jehová mientras puede ser hallado, llamadle en tanto que está cercano.	Isaías 55:6	Acercarte a Dios no requiere esperar a tener una vida perfecta; puedes comenzar desde donde estás.	¿Qué momento del día te ayuda más a apartar unos minutos para acercarte a Dios?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, ayúdame a hacer espacio en mis días para buscarte con sinceridad y atención.	Declaro que cuidaré mi relación con Dios como una prioridad en mi vida.	Escribe "Quiero buscarte" si hoy deseas dedicar más tiempo a Dios.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Gustad, y ved que es bueno Jehová; dichoso el hombre que confía en él.	Salmos 34:8	La fe también se fortalece cuando recuerdas experiencias concretas en las que viste la bondad de Dios.	¿Qué experiencia te hizo reconocer de una manera especial la bondad de Dios?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, ayúdame a recordar tus bondades cuando mi atención se concentre demasiado en mis problemas.	Declaro que guardaré memoria de las veces que Dios ha sido bueno conmigo.	Escribe "Dios ha sido bueno" si hoy puedes recordar una razón para agradecerle.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Bendice, alma mía, a Jehová, y bendiga todo mi ser su santo nombre.	Salmos 103:1	La gratitud no necesita esperar grandes acontecimientos; puede comenzar con reconocer lo que ya tienes hoy.	¿Qué cosa que forma parte de tu vida cotidiana agradeces más de lo que acostumbras decir?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, abre mis ojos para reconocer las bendiciones cotidianas que muchas veces doy por sentadas.	Declaro que practicaré la gratitud incluso en los días ordinarios.	Escribe "Hoy agradezco" y menciona una bendición sencilla de tu día.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El principio de la sabiduría es el temor de Jehová; los insensatos desprecian la sabiduría y la enseñanza.	Proverbios 1:7	Aprender a escuchar consejos también requiere reconocer que no siempre tenemos toda la razón.	¿Qué consejo recibido en el momento correcto terminó ayudándote?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, dame humildad para escuchar consejos sabios y reconocer aquello que todavía necesito aprender.	Declaro que mantendré un corazón dispuesto a aprender y corregir.	Escribe "Quiero aprender" si estás dispuesto a recibir sabiduría.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El que tiene misericordia de los pobres es bienaventurado.	Proverbios 14:21	La generosidad no siempre consiste en dar grandes cosas; muchas veces comienza prestando atención a una necesidad cercana.	¿Qué acto de bondad puedes realizar esta semana sin esperar nada a cambio?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, hazme sensible ante las necesidades de quienes están cerca de mí y dispuesto a ayudar.	Declaro que buscaré oportunidades para practicar la bondad de manera sincera.	Escribe "Seré una bendición" si hoy quieres ayudar a alguien de corazón.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El que encubre sus pecados no prosperará; mas el que los confiesa y se aparta alcanzará misericordia.	Proverbios 28:13	Reconocer una equivocación puede abrir la puerta a una transformación que nunca comienza mientras intentamos esconderla.	¿Qué enseñanza importante obtuviste después de reconocer un error?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, dame honestidad para reconocer mis fallas y humildad para buscar un cambio verdadero.	Declaro que mis errores serán oportunidades de aprendizaje y no cadenas que me detengan.	Escribe "Quiero cambiar" si hoy estás dispuesto a corregir algo en tu vida.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El que refrena sus labios y su lengua, su alma guarda de angustias.	Proverbios 21:23	Guardar silencio en el momento correcto puede evitar conflictos que después son mucho más difíciles de solucionar.	¿Qué te ayuda a pensar antes de hablar cuando estás bajo presión?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, dame dominio propio para no hablar desde el enojo ni desde la impulsividad.	Declaro que pensaré antes de hablar y procuraré que mis palabras construyan.	Escribe "Mis palabras darán vida" si hoy quieres hablar con mayor sabiduría.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
La soberbia del hombre le abate; pero al humilde de espíritu sustenta la honra.	Proverbios 29:23	La humildad permite reconocer que todavía puedes aprender incluso cuando ya tienes experiencia.	¿Qué área de tu vida te ha enseñado a ser más humilde?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, ayúdame a permanecer humilde cuando las cosas me salgan bien y a aprender de los demás.	Declaro que elegiré la humildad por encima de la necesidad de demostrar que siempre tengo razón.	Escribe "Enséñame humildad" si deseas seguir creciendo interiormente.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El que anda en integridad anda confiado; mas el que pervierte sus caminos será quebrantado.	Proverbios 10:9	Vivir con integridad significa procurar que tus acciones coincidan con aquello que dices valorar.	¿Qué principio quieres mantener firme aunque nadie esté observando?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, ayúdame a vivir con honestidad y coherencia tanto en público como cuando nadie me observa.	Declaro que buscaré vivir con integridad en mis decisiones pequeñas y grandes.	Escribe "Elegiré la integridad" si hoy quieres mantener firmes tus principios.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El que sigue la justicia y la misericordia hallará la vida, la justicia y la honra.	Proverbios 21:21	La forma en que tratas a los demás también habla de los valores que llevas dentro.	¿Qué valor deseas demostrar más con tus acciones durante esta semana?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, ayúdame a actuar con justicia, misericordia y respeto hacia cada persona que encuentre.	Declaro que mis acciones reflejarán los valores que deseo cultivar en mi corazón.	Escribe "Viviré con propósito" si quieres que tus acciones reflejen tu fe.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El que fácilmente se enoja hará locuras; y el hombre perverso será aborrecido.	Proverbios 14:17	La paciencia no elimina los problemas, pero puede evitar que una reacción impulsiva cree problemas nuevos.	¿Qué haces para recuperar la calma cuando algo no sale como esperabas?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, ayúdame a controlar mis reacciones y a responder con serenidad ante las dificultades.	Declaro que no permitiré que un momento de enojo controle mis decisiones.	Escribe "Tendré paciencia" si hoy quieres practicar el dominio propio.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El que ama la instrucción ama la sabiduría; mas el que aborrece la reprensión es ignorante.	Proverbios 12:1	Aceptar una corrección con humildad puede ser incómodo, pero también puede ayudarte a descubrir algo que necesitas mejorar.	¿Qué corrección recibiste alguna vez que terminó ayudándote a crecer?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, dame madurez para aceptar correcciones cuando puedan ayudarme a mejorar.	Declaro que recibiré las enseñanzas con humildad y las convertiré en crecimiento.	Escribe "Estoy dispuesto a aprender" si hoy quieres mantener una actitud enseñable.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
